,data,codigo,defluencia
5052,2005-05-06,19067,66.7
5053,2005-05-10,19067,88.45
5054,2005-05-13,19067,342.2
5055,2005-05-14,19067,218.95
5056,2005-05-18,19067,1403.6
5057,2005-05-19,19067,4988.0
5058,2005-05-20,19067,1958.95
5059,2005-05-22,19067,1020.8
5060,2005-05-24,19067,696.0
5061,2005-05-26,19067,756.9
5062,2005-05-27,19067,577.1
5063,2005-05-28,19067,471.25
5064,2005-05-29,19067,292.9
5065,2005-05-30,19067,253.75
5066,2005-05-31,19067,232.0
5067,2005-06-03,19067,182.7
5068,2005-06-06,19067,140.65
5069,2005-06-07,19067,131.95
5070,2005-06-09,19067,114.55
5071,2005-06-12,19067,234.9
5072,2005-06-13,19067,433.55
5073,2005-06-14,19067,1541.35
5074,2005-06-15,19067,1291.95
5075,2005-06-16,19067,896.1
5076,2005-06-17,19067,1112.15
5077,2005-06-18,19067,1802.35
5078,2005-06-21,19067,490.1
5079,2005-06-22,19067,387.15
5080,2005-06-23,19067,324.8
5081,2005-06-24,19067,284.2
5082,2005-07-04,19067,137.75
5083,2005-07-05,19067,184.15
5084,2005-07-06,19067,0.0
5085,2005-07-07,19067,0.0
5086,2005-07-08,19067,0.0
5087,2005-07-15,19067,4.0
5088,2005-07-16,19067,8.0
5089,2005-07-23,19067,16.0
5090,2005-07-24,19067,16.0
5091,2005-07-27,19067,16.0
5092,2005-07-28,19067,16.0
5093,2005-07-29,19067,16.0
5094,2005-07-30,19067,16.0
5095,2005-07-31,19067,16.0
5096,2005-08-02,19067,16.0
5097,2005-08-04,19067,16.0
5098,2005-08-05,19067,16.0
5099,2005-08-06,19067,16.0
5100,2005-08-07,19067,16.0
5101,2005-08-09,19067,16.0
5102,2005-08-11,19067,16.0
5103,2005-08-12,19067,16.0
5104,2005-08-15,19067,16.0
5105,2005-08-16,19067,16.0
5106,2005-08-17,19067,16.0
5107,2005-08-18,19067,16.0
5108,2005-08-19,19067,16.0
5109,2005-08-20,19067,16.0
5110,2005-08-21,19067,16.0
5111,2005-08-23,19067,16.0
5112,2005-08-24,19067,16.0
5113,2005-08-27,19067,16.0
5114,2005-08-28,19067,16.0
5115,2005-08-30,19067,16.0
5116,2005-09-02,19067,16.0
5117,2005-09-08,19067,16.0
5118,2005-09-10,19067,16.0
5119,2005-09-11,19067,16.0
5120,2005-09-12,19067,16.0
5121,2005-09-13,19067,16.0
5122,2005-09-18,19067,16.0
5123,2005-09-19,19067,16.0
5124,2005-09-23,19067,16.0
5125,2005-09-25,19067,539.0
5126,2005-09-26,19067,530.0
5127,2005-09-30,19067,309.0
5128,2005-10-03,19067,256.0
5129,2005-10-05,19067,1258.0
5130,2005-10-06,19067,2077.41
5131,2005-10-08,19067,759.0
5132,2005-10-12,19067,462.0
5133,2005-10-13,19067,333.54
5134,2005-10-15,19067,705.0
5135,2005-10-18,19067,4023.31
5136,2005-10-19,19067,2623.97
5137,2005-10-21,19067,1203.08
5138,2005-10-22,19067,903.7
5139,2005-10-23,19067,736.24
5140,2005-10-25,19067,395.0
5141,2005-10-26,19067,375.0
5142,2005-10-27,19067,333.0
5143,2005-10-28,19067,775.0
5144,2005-10-29,19067,1193.0
5145,2005-10-30,19067,1020.0
5146,2005-10-31,19067,475.22
5147,2005-11-01,19067,441.0
5148,2005-11-05,19067,197.0
5149,2005-11-07,19067,258.0
5150,2005-11-09,19067,329.0
5151,2005-11-10,19067,140.0
5152,2005-11-11,19067,139.0
5153,2005-11-13,19067,136.0
5154,2005-11-14,19067,137.0
5155,2005-11-16,19067,148.0
5156,2005-11-18,19067,161.0
5157,2005-11-19,19067,159.0
5158,2005-11-20,19067,160.0
5159,2005-11-24,19067,160.0
5160,2005-11-25,19067,156.0
5161,2005-11-26,19067,155.0
5162,2005-11-27,19067,155.0
5163,2005-11-28,19067,159.0
5164,2005-12-01,19067,125.0
5165,2005-12-03,19067,93.0
5166,2005-12-07,19067,114.0
5167,2005-12-08,19067,114.0
5168,2005-12-09,19067,65.0
5169,2005-12-11,19067,115.0
5170,2005-12-12,19067,115.0
5171,2005-12-14,19067,110.0
5172,2005-12-15,19067,115.0
5173,2005-12-16,19067,115.0
5174,2005-12-22,19067,122.0
5175,2005-12-23,19067,115.0
5176,2005-12-27,19067,112.0
5177,2005-12-29,19067,115.0
